# Program:featureCounts v2.1.1; Command:"featureCounts" "-a" "braker_output/braker.gtf" "-o" "gene_counts.txt" "-T" "2" "-p" "-t" "exon" "-g" "gene_id" "Control_1.bam" "Control_2.bam" "Control_3.bam" "Heat_treated_1.bam" "Heat_treated_2.bam" "Heat_treated_3.bam" 
Geneid	Chr	Start	End	Strand	Length	Control_1.bam	Control_2.bam	Control_3.bam	Heat_treated_1.bam	Heat_treated_2.bam	Heat_treated_3.bam
g124	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	2705462;2705872;2706361;2706815;2707129;2707387;2707683;2708125	2705716;2706086;2706472;2706865;2707200;2707519;2707741;2708229	+;+;+;+;+;+;+;+	1002	327	295	420	807	612	467
g125	contig_35_pilon;contig_35_pilon;contig_35_pilon	2718231;2718820;2719634	2718484;2718904;2719687	-;-;-	393	865	1227	2192	528	666	752
g126	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	2720230;2720516;2720803;2721157;2721414	2720389;2720676;2720886;2721292;2721535	+;+;+;+;+	663	662	1023	1104	191	146	455
g127	contig_35_pilon;contig_35_pilon	2722666;2722996	2722860;2723607	+;+	807	37107	4925	7103	8189	7563	20512
g128	contig_35_pilon;contig_35_pilon	2728631;2729756	2729594;2730165	+;+	1374	347	183	205	651	1375	937
g129	contig_35_pilon;contig_35_pilon	2732286;2732854	2732450;2733039	+;+	351	74907	32503	57007	51783	114906	60084
g130	contig_35_pilon;contig_35_pilon;contig_35_pilon	2736237;2736552;2737580	2736437;2736626;2737948	+;+;+	645	3338	328	600	1178	1493	1321
g131	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	2738967;2739365;2739610;2739936;2740186;2740470;2740865;2741448;2741637	2739111;2739491;2739787;2740045;2740301;2740719;2741216;2741525;2741858	-;-;-;-;-;-;-;-;-	1578	11389	7881	9893	3431	2745	4840
g132	contig_35_pilon;contig_35_pilon	2779764;2780747	2780202;2782098	-;-	1791	2986	498	397	1197	1129	830
g133	contig_35_pilon;contig_35_pilon;contig_35_pilon	2822766;2823076;2823422	2822912;2823273;2823610	-;-;-	534	216801	39380	56559	57730	82707	57158
g134	contig_35_pilon;contig_35_pilon	2830479;2831449	2830859;2831604	+;+	537	2206	2118	2875	2925	2965	3408
g135	contig_35_pilon;contig_35_pilon	2836761;2837331	2837131;2838591	-;-	1632	1287	747	1044	1896	782	996
g136	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	2854284;2856131;2856506;2857313	2855893;2856361;2857170;2857566	-;-;-;-	2760	11229	926	1172	11624	7892	16244
g137	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	2914011;2915005;2915270;2915596;2916027	2914293;2915066;2915359;2915739;2916128	+;+;+;+;+	681	463	698	528	265	407	446
g138	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	3077769;3078315;3078855;3079171;3079499;3080038	3078215;3078471;3079039;3079405;3079914;3080433	+;+;+;+;+;+	1836	581	654	353	200	180	168
g139	contig_35_pilon;contig_35_pilon;contig_35_pilon	3105476;3105738;3106082	3105492;3105963;3106267	-;-;-	429	1313	692	1032	1878	1458	1897
g140	contig_35_pilon;contig_35_pilon;contig_35_pilon	3122363;3123037;3123850	3122720;3123603;3124178	+;+;+	1254	427	545	533	96	103	252
g141	contig_35_pilon;contig_35_pilon	3171239;3171890	3171642;3172085	-;-	600	1098	436	551	641	1343	2020
g142	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	3240788;3241753;3242359;3243082;3243408;3243722;3244154;3244573;3245092	3241079;3241996;3242560;3243250;3243514;3244010;3244290;3244765;3245153	-;-;-;-;-;-;-;-;-	1695	1068	2720	2297	342	172	958
g143	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	3257643;3258061;3258415;3258616;3258856;3259055;3259330	3257709;3258161;3258435;3258688;3258923;3259187;3259442	+;+;+;+;+;+;+	576	932	1288	865	1778	1143	1628
g144	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	3296415;3297472;3297772;3298584	3296771;3297534;3297843;3298712	+;+;+;+	621	51	93	47	47	24	86
g145	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	3300128;3300333;3300686;3300924;3301122;3301474;3302032	3300187;3300416;3300753;3301005;3301189;3301548;3302128	-;-;-;-;-;-;-	534	1018	1592	1471	2897	2310	2458
g146	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	3304581;3304970;3305326;3305612;3305913;3306311;3306471	3304817;3305116;3305470;3305751;3306004;3306362;3306656	-;-;-;-;-;-;-	999	454	619	736	167	121	237
g147	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	3342140;3342466;3342671;3342976;3343218;3343974;3344179;3344576;3344936;3345276	3342250;3342560;3342768;3343128;3343867;3344071;3344418;3344687;3345149;3345829	+;+;+;+;+;+;+;+;+;+	2325	137	351	186	81	37	206
g148	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	3358536;3358842;3359673;3360067	3358643;3359396;3359763;3360851	-;-;-;-	1539	933	2082	2299	306	73	553
g149	contig_35_pilon;contig_35_pilon;contig_35_pilon	3404629;3405300;3405650	3405147;3405449;3405763	+;+;+	783	1073	2095	1500	1247	998	1501
g150	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	3414634;3415350;3416375;3416711;3417022;3417311;3417722;3418002;3418630;3418930;3419128;3419405;3420230	3415174;3416201;3416457;3416810;3417089;3417562;3417829;3418238;3418696;3418994;3419195;3419536;3420557	-;-;-;-;-;-;-;-;-;-;-;-;-	2901	645	891	760	596	325	811
g151	contig_35_pilon;contig_35_pilon;contig_35_pilon	3448934;3449243;3449506	3449110;3449386;3449763	+;+;+	579	548	7917	4970	802	2526	1676
g152	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	3495724;3496447;3496826;3497399	3496163;3496673;3497271;3498469	+;+;+;+	2184	6231	3658	2953	67	60	694
g153	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	3510374;3510604;3511002;3511235	3510457;3510771;3511077;3511368	+;+;+;+	462	2097	895	757	1499	2638	2166
g154	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	3552255;3552425;3552780;3552978;3553234;3553396;3553752;3553968;3554265;3554465;3554723;3554951	3552301;3552514;3552872;3553050;3553298;3553489;3553844;3554003;3554305;3554553;3554811;3555067	+;+;+;+;+;+;+;+;+;+;+;+	927	701	580	715	779	523	544
g155	contig_35_pilon;contig_35_pilon;contig_35_pilon	3625607;3626706;3627917	3626458;3627407;3628150	+;+;+	1788	571	703	557	317	161	634
g156	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	3641600;3642259;3642458;3642861;3643136;3643437;3643666;3643880	3641827;3642323;3642644;3642941;3643261;3643516;3643781;3644004	+;+;+;+;+;+;+;+	1008	1178	1338	1444	188	200	442
g157	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	3718198;3718832;3720126;3720835	3718419;3719237;3720421;3721134	+;+;+;+	1224	365	667	493	229	134	408
g158	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	3730912;3731552;3731855;3732199;3732627	3731436;3731618;3731892;3732330;3732869	-;-;-;-;-	1005	937	762	681	796	1155	1143
g159	contig_3_pilon;contig_3_pilon;contig_3_pilon	23335;24134;24526	23597;24236;24591	+;+;+	432	39	455	292	37	29	14
g160	contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon	92880;93976;94343;94875;95272	93824;94092;94570;95129;95397	-;-;-;-;-	1671	1729	3073	3287	487	390	1110
g161	contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon	108008;108512;108939;109568;109878;110313	108227;108798;109379;109718;110044;110654	+;+;+;+;+;+	1608	403	454	459	55	57	117
g162	contig_3_pilon;contig_3_pilon;contig_3_pilon	112491;113508;113999	112827;113664;114392	+;+;+	888	20670	32437	32303	20755	27647	17101
g163	contig_3_pilon;contig_3_pilon	144638;145433	144739;145966	+;+	636	1569	847	1177	1911	1283	2169
g164	contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon	199441;200067;200698;201268	199843;200458;200948;201718	+;+;+;+	1497	2369	4616	2928	2087	1309	1474
g165	contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon	228560;228869;229224;229418;229641;230093;230645;231373;231871;232550	228715;228923;229276;229494;229764;230218;230828;231481;231940;232666	-;-;-;-;-;-;-;-;-;-	1071	1930	2110	2112	3441	3127	2366
g166	contig_3_pilon;contig_3_pilon	280107;280712	280565;281608	-;-	1356	1207	974	989	1885	1300	1736
g167	contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon	335973;336357;336670;337056;337401;338034	336025;336535;336855;337211;337636;338189	-;-;-;-;-;-	966	161	276	191	68	93	161
g168	contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon	345516;346554;347029;347462;347929;348246;348782;349152	346403;346703;347299;347572;348103;348509;348976;349359	+;+;+;+;+;+;+;+	2262	2296	4021	4286	2036	3111	3455
g169	contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon	482915;483563;484055;484703	483262;483658;484282;484870	+;+;+;+	840	663	372	289	404	172	935
g170	contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon	522823;523227;523480;523863	522925;523351;523710;524285	+;+;+;+	882	5568	3074	4187	3025	2917	2427
g171	contig_3_pilon;contig_3_pilon;contig_3_pilon	567108;568240;568596	567917;568434;568712	+;+;+	1122	772	687	767	425	287	857
g172	contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon	627898;628660;629061;629681	628134;628851;629229;630099	+;+;+;+	1017	185	16527	3621	4271	12694	7556
g173	contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon	636524;637087;637690;638304	636957;637258;637884;638540	-;-;-;-	1038	9690	6198	10545	690	1194	1699
g174	contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon	644704;645298;645605;646049	645149;645469;645799;646216	-;-;-;-	981	28339	17598	17791	4659	5503	7528
g175	contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon	650217;650722;651085;651500;651815;652221	650543;650835;651186;651617;651999;652613	-;-;-;-;-;-	1239	1202	317	308	195	178	300
g176	contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon	654012;654243;654857;655430	654118;654300;654949;655594	-;-;-;-	423	647	110	172	303	168	187
g177	contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon	657263;657704;657954;658272;658913;659156;659525	657581;657840;658146;658357;659044;659320;659791	+;+;+;+;+;+;+	1299	16303	2691	4194	5463	6741	5186
g178	contig_3_pilon;contig_3_pilon	707155;707582	707235;707977	-;-	477	146	98	157	104	42	96
g179	contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon	752506;752754;753279;753638;754008;754482;755008	752589;752864;753440;753768;754190;754903;755105	-;-;-;-;-;-;-	1191	144	85	112	102	27	74
g180	contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon	778949;779350;779657;780352;780703;781077	779080;779525;780069;780446;780801;781442	-;-;-;-;-;-	1281	563	565	541	536	233	671
g181	contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon	805551;808194;808635;809117;809486;809988	807594;808510;808901;809349;809779;810210	+;+;+;+;+;+	3378	2722	16219	20778	2106	1185	1789
g182	contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon	923042;923785;924054;924356	923610;923875;924149;924370	-;-;-;-	771	828	1174	1206	1236	834	1058
g183	contig_3_pilon;contig_3_pilon;contig_3_pilon	1001199;1001531;1002202	1001226;1001912;1002388	+;+;+	597	6498	7324	7012	13486	14976	10842
g184	contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon	1064797;1065183;1065562;1066021;1066326	1064944;1065418;1065768;1066183;1066681	-;-;-;-;-	1110	266	562	585	7	73	84
g185	contig_3_pilon;contig_3_pilon;contig_3_pilon	1093717;1094855;1095668	1094166;1095127;1096519	+;+;+	1575	2982	3058	2665	410	440	1219
g186	contig_3_pilon;contig_3_pilon	1318138;1318352	1318184;1318613	-;-	309	607	3322	1808	108	63	107
g187	contig_3_pilon;contig_3_pilon	1336474;1337806	1336675;1338185	+;+	582	0	4	2	24	6	10
g188	contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon	1351214;1351749;1351960;1352742	1351260;1351842;1352222;1352967	+;+;+;+	630	3676	17430	16814	956	1304	2799
g189	contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon	1385674;1385885;1386041;1386332;1386555	1385731;1385916;1386143;1386443;1386747	+;+;+;+;+	498	5	19	4	193	169	165
g190	contig_3_pilon;contig_3_pilon	1390628;1391186	1391066;1391514	-;-	768	257	87	351	461	243	243
g191	contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon	1455255;1455860;1456187;1456706;1457580	1455680;1456021;1456456;1457264;1457854	+;+;+;+;+	1692	1214	4688	4806	968	582	829
g192	contig_3_pilon;contig_3_pilon	1468070;1468627	1468265;1468964	+;+	534	2954	8684	7924	3883	4568	3192
g193	contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon	1478836;1479055;1479387;1479617;1479800;1480030;1480289;1480531;1480846;1481031;1481383	1478928;1479147;1479457;1479686;1479877;1480131;1480345;1480653;1480917;1481171;1481826	-;-;-;-;-;-;-;-;-;-;-	1344	452	544	574	983	1375	829
g194	contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon	1671102;1671471;1671716;1672283	1671196;1671558;1671874;1672894	-;-;-;-	954	120	82	69	179	97	229
g195	contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon	1674398;1674860;1675289;1675631;1676269;1676790;1677745;1678419;1678697;1679323	1674496;1675029;1675409;1675915;1676541;1677353;1678014;1678541;1678938;1679503	-;-;-;-;-;-;-;-;-;-	2328	1141	902	1070	1304	463	1183
g196	contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon	1899794;1900647;1901081;1901684	1899979;1900979;1901246;1902285	+;+;+;+	1287	620	747	714	653	809	652
g197	contig_3_pilon;contig_3_pilon	1903339;1904091	1903958;1904247	-;-	777	13	6	5	10	12	3
g198	contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon	1908883;1909234;1909557;1910151	1908990;1909385;1909655;1910400	-;-;-;-	609	104	128	202	197	70	238
g199	contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon;contig_3_pilon	1968129;1968548;1968915;1969346;1969854;1970502;1971390;1971613	1968416;1968692;1969216;1969632;1970088;1970909;1971453;1972001	-;-;-;-;-;-;-;-	2118	72	579	144	90	27	0
g200	contig_3_pilon;contig_3_pilon;contig_3_pilon	2011783;2012414;2013060	2012186;2012931;2013727	+;+;+	1590	2186	10342	9984	2510	1182	3767
g201	contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon	125288;125554;125978;126276;126917;127403;127750;128111;128286;128762;129135;129723	125426;125649;126162;126489;127050;127531;127930;128199;128353;128825;129263;129926	-;-;-;-;-;-;-;-;-;-;-;-	1632	4084	1522	1351	1079	949	1272
g202	contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon	218339;218602;219404;219911;220253;220575;220987	218389;218704;219552;220018;220372;220751;221088	+;+;+;+;+;+;+	810	363	400	359	583	320	536
g203	contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon	230240;231023;231353;231877;232228;232592;232917;233864;234268;234891;235255;235705;236377;236767;237234;237692;238040	230860;231198;231466;231988;232314;232710;233139;234108;234511;235160;235464;236079;236604;236990;237333;237838;238138	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3594	1511	1384	1370	2622	1556	2321
g204	contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon	333285;333541;333758;334066;334492;334829;335041;335429	333425;333651;333856;334222;334655;334891;335265;335521	-;-;-;-;-;-;-;-	1053	1882	1916	2170	1850	1311	2112
g205	contig_43_pilon;contig_43_pilon	459643;460401	459920;460614	+;+	492	112	89	95	115	84	243
g206	contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon	648213;648573;649366;650001;650876	648386;648811;649668;650518;651009	+;+;+;+;+	1368	356	510	645	447	73	459
g207	contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon	659823;660785;661077;661449;661729	660059;660851;661131;661503;661821	+;+;+;+;+	507	1471	1372	1265	2235	2179	2344
g208	contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon	663127;663470;663742;664281;664737	663357;663640;664110;664397;664877	-;-;-;-;-	1029	547	1046	565	195	128	473
g209	contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon	684833;685849;686330;686658;686904;687302;687572;687821	685210;686093;686528;686764;687108;687432;687639;687975	-;-;-;-;-;-;-;-	1488	3783	2243	2846	2957	3587	4404
g210	contig_43_pilon;contig_43_pilon	700234;700595	700461;701368	+;+	1002	674	440	816	73	50	304
g211	contig_43_pilon;contig_43_pilon	726032;726711	726536;727120	-;-	915	921	899	1040	216	118	514
g212	contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon	732053;733044;733394;733734;734070;734372;734715;735183	732914;733219;733615;733808;734240;734552;734902;735314	-;-;-;-;-;-;-;-	2007	8276	13082	10178	3759	6237	5062
g213	contig_43_pilon;contig_43_pilon	799567;800616	800328;800984	+;+	1131	412	208	168	546	825	668
g214	contig_43_pilon;contig_43_pilon;contig_43_pilon	956470;956872;957437	956765;957204;959006	-;-;-	2199	175	977	767	410	307	231
g215	contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon	962046;962519;963219;963734	962117;963085;963543;964107	-;-;-;-	1338	839	1830	1412	1184	541	880
g216	contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon	973151;973981;974373;974759;975100;975356;975599;975869	973735;974222;974469;974942;975181;975476;975682;975925	+;+;+;+;+;+;+;+	1452	1789	1825	1838	1169	960	1642
g217	contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon	987990;988521;988826;989862	988339;988683;988921;990128	-;-;-;-	876	6563	2922	4010	7864	11940	6344
g218	contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon	993665;994181;994404;994672;995010;995282;995681;995890;996214;996436;996654;996885;997282;997629	993706;994234;994463;994803;995144;995380;995770;996044;996334;996531;996759;997081;997422;997724	+;+;+;+;+;+;+;+;+;+;+;+;+;+	1524	637	129	172	377	252	350
g219	contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon	1017876;1018609;1019072;1019465;1020159	1018152;1018850;1019206;1019929;1020674	+;+;+;+;+	1635	2412	3020	2824	7018	4500	5178
g220	contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon	1024494;1027231;1027536;1027753;1027959;1028291;1028468	1027107;1027424;1027619;1027839;1028079;1028365;1028760	+;+;+;+;+;+;+	3468	93	115	104	105	34	67
g221	contig_43_pilon;contig_43_pilon;contig_43_pilon	1058265;1059289;1059738	1059008;1059454;1060192	+;+;+	1365	687	434	489	125	70	401
g222	contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon	1171587;1171944;1172388;1172591;1172905;1173239;1173589;1174138	1171649;1172033;1172473;1172651;1172977;1173336;1173735;1174302	-;-;-;-;-;-;-;-	783	1206	1686	1560	468	720	1434
g223	contig_43_pilon;contig_43_pilon	1288421;1288974	1288729;1289093	-;-	429	990	1102	936	522	484	880
g224	contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon	1401762;1402140;1402350;1402591;1402866;1403415;1404047	1401884;1402190;1402426;1402678;1403147;1403663;1404136	+;+;+;+;+;+;+	960	936	824	874	738	382	878
g225	contig_43_pilon;contig_43_pilon	1439545;1440022	1439904;1440342	+;+	681	2687	604	751	849	1123	1050
g226	contig_43_pilon;contig_43_pilon;contig_43_pilon	1470027;1470363;1470753	1470168;1470498;1470795	+;+;+	321	67	156	66	15	43	116
g227	contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon	1472078;1472830;1473222;1473505;1473897;1474684	1472517;1473087;1473368;1473733;1474434;1475210	+;+;+;+;+;+	2139	1261	1403	1435	1435	640	2066
g228	contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon	1488264;1488776;1490290;1490536	1488510;1489923;1490385;1490754	+;+;+;+	1710	3518	3269	2999	3948	1917	3866
g229	contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon;contig_43_pilon	1532889;1533447;1533720;1534013;1534399;1534751;1535063;1535830;1536264	1533057;1533569;1533881;1534182;1534659;1534951;1535705;1536146;1536440	+;+;+;+;+;+;+;+;+	2223	127146	10809	26160	40665	43566	36601
g230	contig_43_pilon;contig_43_pilon	1537148;1537988	1537901;1538280	-;-	1047	137	248	131	242	79	300
g231	contig_62_pilon;contig_62_pilon	89378;89866	89584;91014	-;-	1356	954	1251	1576	2317	2121	2173
g232	contig_62_pilon;contig_62_pilon;contig_62_pilon;contig_62_pilon;contig_62_pilon;contig_62_pilon;contig_62_pilon;contig_62_pilon;contig_62_pilon;contig_62_pilon;contig_62_pilon	93630;93962;94361;94807;95259;95598;95885;96298;96569;97067;97407	93782;94144;94504;94867;95338;95729;96067;96337;96750;97150;97430	+;+;+;+;+;+;+;+;+;+;+	1266	723	866	1062	1893	967	1900
g233	contig_62_pilon;contig_62_pilon;contig_62_pilon;contig_62_pilon;contig_62_pilon;contig_62_pilon;contig_62_pilon;contig_62_pilon;contig_62_pilon;contig_62_pilon;contig_62_pilon;contig_62_pilon;contig_62_pilon	106012;106541;106845;107227;107481;107686;107832;108066;108295;108569;109134;109481;109810	106224;106586;106920;107286;107531;107740;107902;108117;108372;108658;109247;109549;109866	+;+;+;+;+;+;+;+;+;+;+;+;+	1032	2606	2254	2310	2347	1758	1756
g234	contig_62_pilon;contig_62_pilon;contig_62_pilon;contig_62_pilon	153244;154346;154803;155031	154233;154461;154893;155129	+;+;+;+	1296	218	266	347	337	271	335
g235	contig_66_pilon;contig_66_pilon;contig_66_pilon	33335;34339;34954	34102;34622;35164	-;-;-	1263	3135	4444	5932	577	329	849
g236	contig_66_pilon;contig_66_pilon;contig_66_pilon;contig_66_pilon;contig_66_pilon;contig_66_pilon;contig_66_pilon	144558;145025;145388;145832;146095;146414;146907	144874;145259;145631;145953;146288;146501;147518	-;-;-;-;-;-;-	1812	276	347	293	1483	831	1260
g237	contig_66_pilon;contig_66_pilon	189767;190026	189896;190234	+;+	339	4081	1077	1787	2822	9432	3934
g238	contig_66_pilon;contig_66_pilon;contig_66_pilon	202424;203439;203863	202760;203560;203919	+;+;+	516	236	134	149	114	105	91
g239	contig_66_pilon;contig_66_pilon;contig_66_pilon	206134;206764;207344	206331;206931;207487	-;-;-	510	170	590	482	237	127	336
g240	contig_66_pilon;contig_66_pilon	247054;247379	247275;248395	+;+	1239	27	55	33	105	16	56
g241	contig_66_pilon;contig_66_pilon	284862;285435	285268;285498	+;+	471	1204	8160	4906	3260	3959	2502
g242	contig_66_pilon;contig_66_pilon	358145;358440	358252;358694	+;+	363	279	227	269	313	252	468
g243	contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon	127129;127643;128594;129336	127434;128185;128980;129521	-;-;-;-	1422	2637	6019	5441	2541	1412	2214
g244	contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon	301193;301703;301923;302076;302348;302641	301454;301787;301973;302196;302494;302898	+;+;+;+;+;+	924	3204	4379	5727	2549	2907	2727
g245	contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon	304028;304547;304760;304914;305210;305486	304298;304631;304810;305034;305356;305743	+;+;+;+;+;+	933	5979	11240	13301	2242	2750	3391
g246	contig_67_pilon;contig_67_pilon	315867;316550	316349;316651	-;-	585	12620	319	803	2588	894	5032
g247	contig_67_pilon;contig_67_pilon	318035;318735	318517;318836	-;-	585	4903	727	2023	4401	3275	6432
g248	contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon	407695;408357;409010;409767	408183;408839;409323;409890	+;+;+;+	1410	101	358	314	40	42	87
